Time,Count
10_39,325
11_15,327
11_39,333
12_34,340
13_21,338
13_39,339
14_17,334
14_39,336
15_18,332
15_39,329
16_23,331
16_41,329
17_16,333
17_39,330
18_21,333
18_39,333
19_15,330
19_39,330
20_19,329
20_39,325
21_15,321
21_39,320
22_17,322
22_39,323
23_17,325
23_39,323
01_26,326
02_23,328
02_46,326
03_18,325
03_39,325
04_21,329
04_39,329
05_17,329
05_39,329
06_23,333
06_39,334
07_16,332
07_38,332
08_22,332
08_41,332
09_17,332
09_39,338
10_19,335
10_39,333
11_16,334
11_39,334
12_36,346
13_20,347
13_39,349
14_16,348
14_41,348
15_18,354
15_39,359
16_23,364
16_41,360
17_15,367
17_39,366
18_22,366
18_38,369
19_14,358
19_39,357
20_19,355
20_39,356
21_15,349
21_39,340
22_17,337
22_39,337
23_18,341
23_38,342
01_27,340
02_25,336
02_46,335
03_18,335
03_39,334
04_22,335
04_39,149
05_17,334
05_40,332
06_22,332
06_39,332
07_16,332
07_39,331
08_22,332
08_39,331
09_17,332
09_39,332
10_19,338
10_39,340
11_15,344
11_39,349
12_33,343
13_20,355
13_39,356
14_16,354
14_39,354
15_18,362
15_40,364
16_23,359
16_41,364
17_16,364
17_39,365
18_22,363
18_39,364
19_14,359
19_39,359
20_19,360
20_38,357
21_15,351
21_39,353
22_17,113
22_39,346
23_17,344
23_39,343
01_24,340
02_20,334
02_44,334
03_19,333
03_39,333
04_21,334
04_39,334
05_17,334
05_38,334
06_22,329
06_39,328
07_15,326
07_39,324
08_20,325
08_39,324
09_16,323
09_39,326
10_17,326
10_39,326
11_14,326
11_38,327
12_32,325
13_19,323
13_39,322
14_16,319
14_39,315
15_16,301
15_39,297
16_21,289
16_39,287
17_14,276
17_38,274
18_20,268
18_39,267
19_14,264
19_38,262
20_18,254
20_39,250
21_14,240
21_39,237
22_16,225
22_39,219
23_17,213
23_39,211
01_39,205
02_39,205
03_19,204
03_39,204
04_21,201
04_39,200
05_16,200
05_39,200
06_21,198
06_39,197
07_16,196
07_39,196
08_20,195
08_39,195
09_16,195
09_39,195
10_18,188
10_39,187
11_14,185
11_39,183
12_33,183
13_19,179
13_39,180
14_15,179
14_39,172
15_17,166
15_38,169
16_22,169
16_40,160
17_15,157
17_38,157
18_21,148
18_39,147
19_14,145
19_39,140
20_19,127
20_39,121
21_15,124
21_39,117
22_16,112
22_39,109
23_18,104
23_38,103
01_39,105
02_39,106
03_20,106
03_39,105
04_21,104
04_39,104
05_18,104
05_38,105
06_23,106
06_39,106
07_17,106
07_40,107
08_24,107
08_39,108
09_19,113
09_39,113
10_19,118
10_39,121
11_15,124
11_39,125
12_35,132
13_21,140
13_39,141
14_17,147
14_40,148
15_19,152
15_39,154
16_23,158
16_41,159
17_16,161
17_38,164
18_22,164
18_39,164
19_14,165
19_39,169
20_18,172
20_39,176
21_15,182
21_39,183
22_17,193
22_39,199
23_18,205
23_39,202
01_27,206
02_26,206
02_46,207
03_18,207
03_39,207
04_21,210
04_39,210
05_18,209
05_39,209
06_23,209
06_39,212
07_17,213
07_39,213
08_23,214
08_39,215
09_17,217
09_39,223
10_19,225
10_39,228
11_15,235
11_38,238
12_35,247
13_22,247
13_39,245
14_18,250
14_39,251
15_31,251
15_39,251
16_23,252
16_42,258
17_16,262
17_39,261
18_22,266
18_39,268
19_16,274
19_38,278
20_18,279
20_39,281
21_15,270
21_39,270
22_17,284
22_39,289
23_17,292
23_39,294
01_37,295
02_38,294
03_20,298
03_39,298
04_21,303
04_39,303
05_16,303
05_39,303
06_22,302
06_40,303
07_17,305
07_39,302
08_23,303
08_39,303
09_18,305
09_39,302
10_20,297
10_39,297
11_15,299
11_38,303
12_35,307
13_22,307
13_39,308
14_17,306
